"response","var1","var2"
0,1,-0.816995685
9,1,-0.205719851
0,0,0.0759796351251362
0,1,-0.287423944
0,1,-0.843773224
1,1,-0.574479206
0,0,-0.322489769
0,0,-0.86453203
0,0,-0.495270139331739
0,0,-0.783242915
0,0,-0.281399807
2,0,-0.698919044
0,1,0.0759796351251362
0,1,-0.800088582134274
0,0,-0.637025713
0,1,-0.61565064
0,0,0.063436656
0,1,-0.781570219
0,0,0.124074215
0,1,-0.858863715
0,0,-0.723094789
0,0,-0.435636400710407
0,1,-0.75973434
1,1,-0.490787208
0,1,-0.601294656
0,0,-0.202878638
1,0,0.186833212280667
1,0,-0.667078873
0,1,-0.951286639
